Source Name,Site Name,Type of equipment,Type of Equipment Leak (L),Type of Pneumatic Controller (PC) (for cases where all PCs at site are either intermittent or low bleed),Mean of HighFlow measurements (scfm),Fraction of carbon in methane,Methane mole %,Mean methane (scfm),Whole gas (scfm)
T-69,RM-1,T,,,0.183,0.564,7.6427E+01,0.103,0.135
T-70,RM-1,T,,,0.058,0.564,7.6427E+01,0.033,0.043
T-71,RM-1,T,,,0.244,0.564,7.6427E+01,0.138,0.180
T-72,RM-1,T,,,0.022,0.564,7.6427E+01,0.012,0.016
L-247,RM-2,L,Gas Regulator weep hole separator test 2,,0.009,0.527,7.4544E+01,0.005,0.006
L-248,RM-2,L,Separator Test 2 compression fitting,,0.004,0.527,7.4544E+01,0.002,0.003
L-249,RM-2,L,Separator Test 1 NPT t-fitting top and bottom,,0.034,0.527,7.4544E+01,0.018,0.024
L-250,RM-2,L,Wellhead C1 pressure fitting below Rosemount,,0.008,0.527,7.4544E+01,0.004,0.006
PC-301,RM-2,PC,,,0.005,0.527,7.4544E+01,0.003,0.004
T-115,RM-2,T,,,0.029,0.527,7.4544E+01,0.015,0.021
T-116,RM-2,T,,,0.008,0.527,7.4544E+01,0.004,0.006
L-251,RM-3,L,Thermostat Separator E1,,0.003,0.537,7.4929E+01,0.002,0.002
L-252,RM-3,L,Thermostat Separator V601 E2,,0.001,0.537,7.4929E+01,0.001,0.001
L-253,RM-3,L,Thermostat Separator V602 E2,,0.005,0.537,7.4929E+01,0.003,0.004
PC-302,RM-3,PC,,,0.033,0.537,7.4929E+01,0.018,0.024
T-117,RM-3,T,,,0.212,0.537,7.4929E+01,0.114,0.152
L-254,RM-4,L,Separator 2546 temperature controller horizontal,,0.005,0.554,7.6189E+01,0.003,0.004
L-255,RM-4,L,Separator 2546 temperature controller vertical,,0.004,0.554,7.6189E+01,0.002,0.003
L-256,RM-4,L,Grant 2-8-11 bottom of knockout pot,,0.009,0.554,7.6189E+01,0.005,0.007
PC-303,RM-4,PC,,,0.049,0.554,7.6189E+01,0.027,0.036
L-257,RM-5,L,Wellhead 11-7 bottom of knockout,,0.063,0.527,7.4544E+01,0.033,0.045
L-258,RM-5,L,Well Head 22-7 at Rosemount,,0.008,0.527,7.4544E+01,0.004,0.006
L-259,RM-5,L,Well head 13-7 blue wheel valve,,0.277,0.527,7.4544E+01,0.146,0.196
L-260,RM-5,L,Well head 13-7 Asco red hat,,0.104,0.527,7.4544E+01,0.055,0.074
L-261,RM-5,L,Well head 13-7 weep hole at knockout,,0.120,0.527,7.4544E+01,0.063,0.085
L-262,RM-5,L,Well head 23-7 Swagelok elbow before knockout,,0.008,0.527,7.4544E+01,0.004,0.006
L-263,RM-6,L,Knockout pot top of regulator Well head,,0.009,0.527,7.4544E+01,0.005,0.006
L-264,RM-6,L,Knockout pot bottom of regulator Well Head,,0.005,0.527,7.4544E+01,0.003,0.004
L-265,RM-6,L,Separator 1/2 union,,0.064,0.527,7.4544E+01,0.034,0.045
L-266,RM-6,L,Separator far right flange side of thermostat,,0.028,0.527,7.4544E+01,0.015,0.020
L-267,RM-6,L,Separator top flange at end,,0.203,0.527,7.4544E+01,0.107,0.144
L-268,RM-6,L,Separator water flange top fitting,,0.018,0.527,7.4544E+01,0.009,0.013
L-269,RM-6,L,Kimray Valve 3/8 line south side,,0.071,0.527,7.4544E+01,0.037,0.050
L-270,RM-6,L,Separator inside cabinet south side upper fitting,,0.020,0.527,7.4544E+01,0.011,0.014
L-271,RM-6,L,Separator inside cabinet south side lower fitting,,0.042,0.527,7.4544E+01,0.022,0.030
L-272,RM-7,L,Thermostat controller separator 2,,0.036,0.654,8.1889E+01,0.024,0.029
T-118,RM-7,T,,,0.063,0.654,8.1889E+01,0.041,0.050
T-119,RM-7,T,,,0.088,0.654,8.1889E+01,0.058,0.070
T-120,RM-7,T,,,0.235,0.654,8.1889E+01,0.154,0.188
L-273,RM-8,L,Union on water side of separator 2 near valve handle,,0.021,0.527,7.4544E+01,0.011,0.015
L-274,RM-8,L,Exhaust on Pneumatic Valve #3 separator,,0.156,0.527,7.4544E+01,0.082,0.110
L-275,RM-8,L,Union on water side of separator 3 near valve handle,,0.013,0.527,7.4544E+01,0.007,0.009
L-276,RM-8,L,Valve controller on water side separator 3,,0.005,0.527,7.4544E+01,0.003,0.004
PC-304,RM-8,PC,,,0.000,0.527,7.4544E+01,0.000,0.000
T-121,RM-8,T,,,0.011,0.527,7.4544E+01,0.006,0.008
T-122,RM-8,T,,,0.025,0.527,7.4544E+01,0.013,0.018
L-277,RM-9,L,Regulator separator 2210,,0.010,0.527,7.4544E+01,0.005,0.007
L-278,RM-9,L,Swagelok fitting to box separator 25606,,0.020,0.527,7.4544E+01,0.011,0.014
PC-305,RM-9,PC,,,0.003,0.527,7.4544E+01,0.002,0.002
T-123,RM-9,T,,,0.000,0.527,7.4544E+01,0.000,0.000
T-124,RM-9,T,,,0.000,0.527,7.4544E+01,0.000,0.000
L-223,RM-10,L,Flange 33 Separator Kimray Thermostat,,0.006,0.527,7.4544E+01,0.003,0.004
PC-291,RM-10,PC,,,0.039,0.527,7.4544E+01,0.021,0.028
L-224,RM-11,L,Compressor Cylinder Head,,0.000,0.547,7.4933E+01,0.000,0.000
L-225,RM-11,L,API Separator Regulator in Control shack,,0.002,0.547,7.4933E+01,0.001,0.001
L-226,RM-11,L,API Separator Regulator in Control shack,,0.007,0.547,7.4933E+01,0.004,0.005
L-227,RM-11,L,API Separator Regulator outside control shack,,0.000,0.547,7.4933E+01,0.000,0.000
PC-292,RM-11,PC,,low,0.000,0.547,7.4933E+01,0.000,0.000
T-73,RM-11,T,,,0.131,0.547,7.4933E+01,0.072,0.096
T-74,RM-11,T,,,0.027,0.547,7.4933E+01,0.015,0.020
T-75,RM-11,T,,,0.054,0.547,7.4933E+01,0.030,0.039
T-76,RM-11,T,,,0.286,0.547,7.4933E+01,0.156,0.209
T-77,RM-11,T,,,0.345,0.547,7.4933E+01,0.189,0.252
T-78,RM-11,T,,,0.061,0.547,7.4933E+01,0.033,0.045
T-79,RM-11,T,,,0.022,0.547,7.4933E+01,0.012,0.016
T-80,RM-11,T,,,0.032,0.547,7.4933E+01,0.017,0.023
L-228,RM-12,L,2237 Separator temperature dial controller,,0.000,0.527,7.4544E+01,0.000,0.000
L-229,RM-12,L,Neighbors 1 wellmaster 300 box Electrical connection,,0.036,0.527,7.4544E+01,0.019,0.025
L-230,RM-12,L,Neighbors 13-12 red pneumatic valve at missing bolt,,0.000,0.527,7.4544E+01,0.000,0.000
T-81,RM-12,T,,,0.000,0.527,7.4544E+01,0.000,0.000
L-231,RM-13,L,Separator 37-25 union on shut-off valve,,0.003,0.560,7.5051E+01,0.002,0.002
L-232,RM-14,L,Miller 12-17 outside horizontal tubing at reducing union,,0.064,0.527,7.4544E+01,0.034,0.045
L-233,RM-14,L,Miller 12-17 elbow fitting as tubing exits shelter,,0.007,0.527,7.4544E+01,0.004,0.005
L-234,RM-14,L,Miller 12-17 top of pneumatic valve at weep hole,,0.006,0.527,7.4544E+01,0.003,0.004
L-235,RM-14,L,Miller 12-17 pressure gauge,,0.000,0.527,7.4544E+01,0.000,0.000
L-236,RM-14,L,Wandell pneumatic valve weephole,,0.055,0.527,7.4544E+01,0.029,0.039
T-82,RM-14,T,,,0.006,0.527,7.4544E+01,0.003,0.004
T-83,RM-14,T,,,0.272,0.527,7.4544E+01,0.143,0.192
T-84,RM-14,T,,,0.062,0.527,7.4544E+01,0.033,0.044
T-85,RM-14,T,,,0.177,0.527,7.4544E+01,0.093,0.125
T-86,RM-14,T,,,0.148,0.527,7.4544E+01,0.078,0.105
T-87,RM-15,T,,,0.000,0.474,7.0258E+01,0.000,0.000
T-88,RM-15,T,,,0.000,0.474,7.0258E+01,0.000,0.000
L-237,RM-16,L,Union at back of control box separator 3,,0.030,0.527,7.4544E+01,0.016,0.021
PC-293,RM-16,PC,,,0.005,0.527,7.4544E+01,0.003,0.004
PC-294,RM-16,PC,,,0.005,0.527,7.4544E+01,0.003,0.004
T-89,RM-16,T,,,0.135,0.527,7.4544E+01,0.071,0.096
T-90,RM-16,T,,,0.233,0.527,7.4544E+01,0.123,0.165
T-91,RM-16,T,,,0.191,0.527,7.4544E+01,0.101,0.135
L-238,RM-17,L,Crankcase Vent Compressor 2,,0.197,0.492,7.1183E+01,0.097,0.136
L-239,RM-17,L,Crankcase Vent Compressor 3,,0.204,0.492,7.1183E+01,0.100,0.141
L-240,RM-17,L,Fitting behind valve diaphragm Compressor 3,,0.056,0.492,7.1183E+01,0.028,0.039
L-241,RM-17,L,Solenoid valve on Separator 13N-13,,0.006,0.492,7.1183E+01,0.003,0.004
L-242,RM-17,L,Shut-off Valve Separator 13N-13,,0.000,0.492,7.1183E+01,0.000,0.000
PC-295,RM-17,PC,,low,0.251,0.492,7.1183E+01,0.123,0.173
PC-296,RM-17,PC,,low,0.019,0.492,7.1183E+01,0.009,0.013
PC-297,RM-17,PC,,low,0.023,0.492,7.1183E+01,0.011,0.016
T-100,RM-17,T,,,0.009,0.492,7.1183E+01,0.004,0.006
T-101,RM-17,T,,,0.179,0.492,7.1183E+01,0.088,0.124
T-102,RM-17,T,,,0.186,0.492,7.1183E+01,0.091,0.128
T-103,RM-17,T,,,0.096,0.492,7.1183E+01,0.047,0.066
T-104,RM-17,T,,,0.012,0.492,7.1183E+01,0.006,0.008
T-105,RM-17,T,,,0.102,0.492,7.1183E+01,0.050,0.070
T-106,RM-17,T,,,0.175,0.492,7.1183E+01,0.086,0.121
T-107,RM-17,T,,,0.024,0.492,7.1183E+01,0.012,0.017
T-108,RM-17,T,,,0.009,0.492,7.1183E+01,0.004,0.006
T-109,RM-17,T,,,0.000,0.492,7.1183E+01,0.000,0.000
T-110,RM-17,T,,,0.000,0.492,7.1183E+01,0.000,0.000
T-111,RM-17,T,,,0.004,0.492,7.1183E+01,0.002,0.003
T-92,RM-17,T,,,0.026,0.492,7.1183E+01,0.013,0.018
T-93,RM-17,T,,,0.034,0.492,7.1183E+01,0.017,0.023
T-94,RM-17,T,,,0.062,0.492,7.1183E+01,0.030,0.043
T-95,RM-17,T,,,0.272,0.492,7.1183E+01,0.134,0.188
T-96,RM-17,T,,,0.089,0.492,7.1183E+01,0.044,0.061
T-97,RM-17,T,,,0.067,0.492,7.1183E+01,0.033,0.046
T-98,RM-17,T,,,0.031,0.492,7.1183E+01,0.015,0.021
T-99,RM-17,T,,,0.090,0.492,7.1183E+01,0.044,0.062
PC-298,RM-18,PC,,,0.012,0.527,7.4544E+01,0.006,0.008
T-112,RM-18,T,,,0.029,0.527,7.4544E+01,0.015,0.021
L-243,RM-19,L,Kugel 1-18 weephole on red pneumatic valve,,0.000,0.554,7.6189E+01,0.000,0.000
L-244,RM-19,L,Separator Kugel 1-18 pressure gauge at low pressure,,0.013,0.554,7.6189E+01,0.007,0.009
L-245,RM-19,L,Separator Wandell 24-7 bulk left side lower pressure regulator,,0.001,0.554,7.6189E+01,0.001,0.001
L-246,RM-19,L,Separator Wandell 34-7 left pneumatic valve,,0.405,0.554,7.6189E+01,0.224,0.294
PC-299,RM-19,PC,,,0.001,0.554,7.6189E+01,0.001,0.001
PC-300,RM-19,PC,,,0.011,0.554,7.6189E+01,0.006,0.008
T-113,RM-19,T,,,0.074,0.554,7.6189E+01,0.041,0.054
T-114,RM-19,T,,,0.048,0.554,7.6189E+01,0.027,0.035
